drill,hole,mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_07_batch_00_collet_1_31-01-2025,31,6.099297,0.010985635,1.0,1,17
drill_4mm_07_batch_00_collet_1_31-01-2025,32,4.366416,0.010985635,1.0,1,17
drill_4mm_08_batch_00_collet_1_31-01-2025,1,0.0030602731,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,2,0.01001931,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,3,0.00010511851,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,4,0.00032420328,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,5,2.394508e-05,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,6,1.6589552,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,7,16.869118,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,8,4.5590553,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,9,3.5550869,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,10,9.214445,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,11,12.752403,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,12,13.061726,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,13,8.527777,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,14,7.5368795,0.009880129,0.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,15,9.394938,0.009880129,1.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,16,24.085094,0.009880129,1.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,17,8.705206,0.009880129,1.0,0,6
drill_4mm_08_batch_00_collet_1_31-01-2025,18,11.570812,0.009880129,1.0,1,6
drill_4mm_08_batch_00_collet_1_31-01-2025,19,24.242695,0.009880129,1.0,1,6
drill_4mm_08_batch_00_collet_1_31-01-2025,20,76.89426,0.009880129,1.0,1,6
drill_4mm_08_batch_00_collet_1_31-01-2025,21,10.753768,0.009880129,1.0,1,6
drill_4mm_09_batch_00_collet_1_31-01-2025,1,0.00017633983,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,2,0.0018036277,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,3,0.004162628,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,4,0.0073732114,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,5,0.00015928551,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,6,0.71745956,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,7,1.4140753,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,8,3.1710122,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,9,4.019349,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,10,5.137822,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,11,7.2524567,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,12,6.6916394,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,13,10.318275,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,14,10.873349,0.007309,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,15,10.983766,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,16,5.7653937,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,17,9.329674,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,18,8.864912,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,19,13.376748,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,20,14.833405,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,21,14.970723,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,22,13.074569,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,23,13.248903,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,24,18.01771,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,25,8.505031,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,26,12.320964,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,27,24.04337,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,28,16.338882,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,29,26.032125,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,30,17.231955,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,31,6.1943827,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,32,15.210405,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,33,12.479675,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,34,15.794832,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,35,7.949215,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,36,9.6336155,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,37,5.9715996,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,38,8.199703,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,39,7.993263,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,40,13.6506815,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,41,12.3638935,0.007309,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,42,14.926878,0.007309,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,43,17.570408,0.007309,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,44,30.210629,0.007309,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,45,8.138582,0.007309,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,46,7.881614,0.007309,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,47,14.699388,0.007309,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,48,19.42451,0.007309,1.0,1,36
