drill,hole,ultrasonic_mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_09_batch_00_collet_1_31-01-2025,5,1.6454558e-05,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,6,1.6943423,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,7,1.9670581,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,8,3.0264452,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,9,6.57206,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,10,12.384016,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,11,21.670105,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,12,30.012323,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,13,39.25858,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,14,31.332272,0.008017957,0.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,15,40.714703,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,16,30.559937,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,17,35.10454,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,18,24.292278,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,19,24.58176,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,20,34.933777,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,21,33.636845,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,22,32.177402,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,23,29.241196,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,24,24.568037,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,25,22.209585,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,26,41.968445,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,27,44.50418,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,28,41.25999,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,29,55.859184,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,30,48.27586,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,31,27.182852,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,32,25.366533,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,33,25.701298,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,34,21.624254,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,35,21.098743,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,36,17.28239,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,37,12.127454,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,38,24.849125,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,39,26.225702,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,40,43.812702,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,41,48.530144,0.008017957,1.0,0,36
drill_4mm_09_batch_00_collet_1_31-01-2025,42,43.98504,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,43,49.11276,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,44,77.81461,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,45,47.22338,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,46,39.627594,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,47,36.624504,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,48,29.162392,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,49,26.48444,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,50,56.92752,0.008017957,1.0,1,36
drill_4mm_09_batch_00_collet_1_31-01-2025,51,55.889706,0.008017957,1.0,1,36
drill_4mm_10_batch_00_collet_1_04-02-2025,1,6.7024506e-05,0.0063947844,0.0,0,44
drill_4mm_10_batch_00_collet_1_04-02-2025,2,4.2201387e-05,0.0063947844,0.0,0,44
drill_4mm_10_batch_00_collet_1_04-02-2025,3,0.004186905,0.0063947844,0.0,0,44
drill_4mm_10_batch_00_collet_1_04-02-2025,4,0.006439843,0.0063947844,0.0,0,44
