drill,hole,score,prediction,label
drill_4mm_12,2,0.01968987099826336,0,0
drill_4mm_12,3,0.027713298797607422,0,0
drill_4mm_12,4,0.9374226331710815,0,0
drill_4mm_12,5,0.4462181627750397,0,0
drill_4mm_12,6,0.04109460115432739,0,0
drill_4mm_12,7,0.897832989692688,0,0
drill_4mm_12,8,0.3147013187408447,0,0
drill_4mm_12,9,0.858344554901123,0,0
drill_4mm_12,10,0.45378726720809937,0,0
drill_4mm_12,11,0.04101254791021347,0,0
drill_4mm_12,12,0.07883568108081818,0,0
drill_4mm_12,13,0.23076406121253967,0,0
drill_4mm_12,14,0.5713726282119751,0,0
drill_4mm_12,15,0.46941807866096497,0,0
drill_4mm_12,16,0.3010561764240265,0,0
drill_4mm_12,17,0.2679947018623352,0,0
drill_4mm_12,18,0.2765617370605469,0,0
drill_4mm_12,19,0.1691979020833969,0,0
drill_4mm_12,20,0.08127844333648682,0,0
drill_4mm_12,21,0.11484409868717194,0,0
drill_4mm_12,22,0.05331156402826309,0,0
drill_4mm_12,23,0.38899698853492737,0,0
drill_4mm_12,24,0.17381976544857025,0,0
