drill,hole,score,label,threshold,prediction,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,98,0.3352485,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,99,0.05569998,1,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,100,0.25379863,1,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,101,0.49402314,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,102,0.40809906,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,103,0.45621115,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,104,0.50503063,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,105,0.89859027,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,106,0.2637723,1,0.1,1,63
drill_4mm_06_batch_00_collet_1_30-01-2025,1,0.013343133,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,2,0.010675239,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,3,0.018487705,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,4,0.0150331715,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,5,0.0075476733,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,6,0.0060127084,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,7,0.021618031,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,8,0.0074102324,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,9,0.0073369797,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,10,0.026015406,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,11,0.03947716,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,12,0.1487545,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,13,0.18508007,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,14,0.14500624,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,15,0.2270539,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,16,0.18002401,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,17,0.27953148,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,18,0.73923665,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,19,0.26831016,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,20,0.3883738,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,21,0.6161807,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,22,0.74568117,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,23,0.8594314,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,24,0.5639343,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,25,0.9144737,1,0.1,1,12
drill_4mm_07_batch_00_collet_1_31-01-2025,1,0.01250993,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,2,0.0046611833,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,3,0.006919686,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,4,0.9050931,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,5,0.05935396,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,6,0.06016958,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,7,0.044993304,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,8,0.035842463,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,9,0.0113359,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,10,0.0023600694,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,11,0.07287033,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,12,0.45959798,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,13,0.14923592,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,14,0.5012074,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,15,0.1709738,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,16,0.3914752,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,17,0.4505469,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,18,0.5667618,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,19,0.44615775,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,20,0.35055423,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,21,0.6117289,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,22,0.5816043,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,23,0.3139231,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,24,0.12134087,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,25,0.35006532,0,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,26,0.13842459,0,0.820519208908081,0,0
