drill,hole,hybrid_mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,106,131.28215,0.0026423507,1.0,1,91
drill_4mm_06_batch_00_collet_1_30-01-2025,1,4.3760665e-05,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,2,0.00010420676,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,3,0.0012602127,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,4,0.0021669168,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,5,0.00018100615,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,6,1.9548559,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,7,4.5477104,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,8,10.068293,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,9,22.83042,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,10,41.43686,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,11,61.337494,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,12,65.072495,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,13,66.29205,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,14,70.458435,0.0021487828,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,15,89.67178,0.0021487828,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,16,71.81815,0.0021487828,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,17,68.19202,0.0021487828,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,18,46.7307,0.0021487828,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,19,61.22583,0.0021487828,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,20,73.86032,0.0021487828,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,21,76.38909,0.0021487828,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,22,46.879093,0.0021487828,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,23,66.227325,0.0021487828,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,24,91.72775,0.0021487828,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,25,41.00235,0.0021487828,1.0,1,10
drill_4mm_07_batch_00_collet_1_31-01-2025,1,0.00094754115,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,2,0.004826681,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,3,0.007279164,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,4,7.192796e-05,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,5,0.0015426218,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,6,1.9643055,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,7,5.618199,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,8,7.6884904,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,9,7.7247305,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,10,7.0517993,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,11,10.067754,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,12,12.426689,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,13,13.642834,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,14,13.847572,0.0072301147,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,15,10.4228325,0.0072301147,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,16,8.275129,0.0072301147,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,17,8.596774,0.0072301147,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,18,8.668095,0.0072301147,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,19,7.05134,0.0072301147,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,20,10.097494,0.0072301147,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,21,9.012471,0.0072301147,1.0,0,17
